Temperature,Humidity,CO2,Illumination,Time,Growth_rate
21.5,67.9,525,186,13.6,1.34
27.3,41.5,731,230,10.2,1.38
26.3,72.3,846,162,16.8,1.20
31.0,56.1,929,203,22.3,1.16
33.1,77.3,1126,236,14.8,1.13
28.9,51.0,999,116,9.9,2.53
22.9,60.3,438,124,18.7,1.24
20.0,80.0,1082,255,23.0,1.25
20.0,80.0,1200,255,23.0,1.66
20.0,45.0,1200,100,8.0,1.81
35.0,45.0,1200,100,8.0,1.36
20.7,45.4,1196,110,8.1,1.63
20.1,53.2,1197,100,8.9,1.27
21.7,45.4,1199,102,8.4,1.09
34.5,45.3,400,107,8.4,0.54
20.1,79.8,1157,250,22.8,1.35
20.7,46.7,1196,254,21.7,1.38
20.0,69.8,1195,102,8.1,1.24
27.50168362995834,61.95503514502454,832.9155351988466,112.08721250744597,11.490949976474782,1.3644511412482474
20.8503758388088,63.88814281473565,1035.489181040009,243.76631965255714,11.786426051490654,1.3644447969078022
32.47120639327155,54.6031128126778,1141.03152577429,244.0988100915511,8.445861862429524,1.3644447969078022
